Year,Value,UNIT_MEASURE,SERIES
2009,453000,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2010,728000,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2011,404000,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2012,2900000,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2013,1107058,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2014,2738514,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2015,2563708,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2016,78163647,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2017,5724857,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2018,175957160,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2019,9420753,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2020,8389057,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2021,11783151,u KM,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2009,332090,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2010,494309,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2011,267271,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2012,1954705,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2013,780159,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2014,1702619,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2015,1432183,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2016,42126518,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2017,3510438,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2018,103046443,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2019,5389465,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2020,5267636,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
2021,6828315,Američki dolar,Vrijednost sumnjivih transakcija na pranje novca i finansiranje terorističkih aktivnosti - banke Republike Srpske
