Year,Value,UNIT_MEASURE,SERIES
2009,754.9,Na 100 000 umrlih,SH_STA_TRAF
2010,680.6,Na 100 000 umrlih,SH_STA_TRAF
2011,871.3,Na 100 000 umrlih,SH_STA_TRAF
2012,688.6,Na 100 000 umrlih,SH_STA_TRAF
2013,837.0,Na 100 000 umrlih,SH_STA_TRAF
2014,714.8,Na 100 000 umrlih,SH_STA_TRAF
2015,703.9,Na 100 000 umrlih,SH_STA_TRAF
2016,901.9,Na 100 000 umrlih,SH_STA_TRAF
2017,566.1,Na 100 000 umrlih,SH_STA_TRAF
2018,704.5,Na 100 000 umrlih,SH_STA_TRAF
2019,702.9,Na 100 000 umrlih,SH_STA_TRAF
2020,464.4,Na 100 000 umrlih,SH_STA_TRAF
2021,421.0,Na 100 000 umrlih,SH_STA_TRAF
