Year,Value,UNIT_MEASURE,SERIES
2009.0,4.7,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2010.0,2.7,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2011.0,3.9,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2012.0,4.5,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2013.0,5.6,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2014.0,3.9,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2015.0,2.3,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2016.0,3.6,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2017.0,4.0,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2018.0,5.2,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2019.0,4.5,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2020.0,1.9,Na 100 000 stanovnika,SH_HAP_HBSAGINC
2021.0,1.5,Na 100 000 stanovnika,SH_HAP_HBSAGINC
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
