Year,SERIES,UNIT_MEASURE,Value
2010,EN_WWT_TREATMUN,Хиљаду кубних метара,1084.0
2011,EN_WWT_TREATMUN,Хиљаду кубних метара,959.0
2012,EN_WWT_TREATMUN,Хиљаду кубних метара,1109.0
2013,EN_WWT_TREATMUN,Хиљаду кубних метара,1169.0
2014,EN_WWT_TREATMUN,Хиљаду кубних метара,1193.0
2015,EN_WWT_TREATMUN,Хиљаду кубних метара,1266.0
2016,EN_WWT_TREATMUN,Хиљаду кубних метара,2698.0
2017,EN_WWT_TREATMUN,Хиљаду кубних метара,2660.0
2018,EN_WWT_TREATMUN,Хиљаду кубних метара,2841.0
2019,EN_WWT_TREATMUN,Хиљаду кубних метара,2936.0
2020,EN_WWT_TREATMUN,Хиљаду кубних метара,3171.0
2021,EN_WWT_TREATMUN,Хиљаду кубних метара,2684.0
2019,EN_WWT_TREATPOP,Проценат,4.5
2020,EN_WWT_TREATPOP,Проценат,4.5
2021,EN_WWT_TREATPOP,Проценат,4.7
