Year,SERIES,UNIT_MEASURE,Пол,Value
2009,Стопа смртности мајки,На 100 000 живорођених,Жене,0.0
2010,Стопа смртности мајки,На 100 000 живорођених,Жене,9.8
2011,Стопа смртности мајки,На 100 000 живорођених,Жене,10.5
2012,Стопа смртности мајки,На 100 000 живорођених,Жене,0.0
2013,Стопа смртности мајки,На 100 000 живорођених,Жене,0.0
2014,Стопа смртности мајки,На 100 000 живорођених,Жене,0.0
2015,Стопа смртности мајки,На 100 000 живорођених,Жене,10.7
2016,Стопа смртности мајки,На 100 000 живорођених,Жене,10.6
2017,Стопа смртности мајки,На 100 000 живорођених,Жене,0.0
2018,Стопа смртности мајки,На 100 000 живорођених,Жене,10.5
2019,Стопа смртности мајки,На 100 000 живорођених,Жене,0.0
2020,Стопа смртности мајки,На 100 000 живорођених,Жене,32.7
2021,Стопа смртности мајки,На 100 000 живорођених,Жене,0.0
