Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2016,ST_TUR_EMP,Број,Без подјеле,12106
2017,ST_TUR_EMP,Број,Без подјеле,12879
2018,ST_TUR_EMP,Број,Без подјеле,13341
2019,ST_TUR_EMP,Број,Без подјеле,13742
2020,ST_TUR_EMP,Број,Без подјеле,13523
2021,ST_TUR_EMP,Број,Без подјеле,13125
2016,ST_TUR_EMP,Број,Смјештај,2185
2017,ST_TUR_EMP,Број,Смјештај,2339
2018,ST_TUR_EMP,Број,Смјештај,2516
2019,ST_TUR_EMP,Број,Смјештај,2732
2020,ST_TUR_EMP,Број,Смјештај,2652
2021,ST_TUR_EMP,Број,Смјештај,2430
2016,ST_TUR_EMP,Број,Дјелатност припреме и послуживања хране и пића,9921
2017,ST_TUR_EMP,Број,Дјелатност припреме и послуживања хране и пића,10540
2018,ST_TUR_EMP,Број,Дјелатност припреме и послуживања хране и пића,10825
2019,ST_TUR_EMP,Број,Дјелатност припреме и послуживања хране и пића,11010
2020,ST_TUR_EMP,Број,Дјелатност припреме и послуживања хране и пића,10871
2021,ST_TUR_EMP,Број,Дјелатност припреме и послуживања хране и пића,10695
