Year,SERIES,UNIT_MEASURE,Value
2009,ER_PTD_MTNEC,Broj,2.0
2010,ER_PTD_MTNEC,Broj,2.0
2011,ER_PTD_MTNEC,Broj,2.0
2012,ER_PTD_MTNEC,Broj,3.0
2013,ER_PTD_MTNEC,Broj,4.0
2014,ER_PTD_MTNEC,Broj,4.0
2015,ER_PTD_MTNEC,Broj,4.0
2016,ER_PTD_MTNEC,Broj,4.0
2017,ER_PTD_MTNEC,Broj,5.0
2018,ER_PTD_MTNEC,Broj,6.0
2019,ER_PTD_MTNEC,Broj,6.0
2020,ER_PTD_MTNEC,Broj,7.0
2021,ER_PTD_MTNEC,Broj,9.0
2009,ER_PTD_MTNEC,Površina u hektarima,19959.88
2010,ER_PTD_MTNEC,Površina u hektarima,19959.88
2011,ER_PTD_MTNEC,Površina u hektarima,19959.88
2012,ER_PTD_MTNEC,Površina u hektarima,20254.88
2013,ER_PTD_MTNEC,Površina u hektarima,20552.7
2014,ER_PTD_MTNEC,Površina u hektarima,20552.7
2015,ER_PTD_MTNEC,Površina u hektarima,20552.7
2016,ER_PTD_MTNEC,Površina u hektarima,20552.7
2017,ER_PTD_MTNEC,Površina u hektarima,26868.02
2018,ER_PTD_MTNEC,Površina u hektarima,27198.77
2019,ER_PTD_MTNEC,Površina u hektarima,27198.77
2020,ER_PTD_MTNEC,Površina u hektarima,43914.61
2021,ER_PTD_MTNEC,Površina u hektarima,48114.47
