Year,SERIES,UNIT_MEASURE,Value
2009,DC_TRF_TOTLFDI,u milionima КМ,170.4
2010,DC_TRF_TOTLFDI,u milionima КМ,205.1
2011,DC_TRF_TOTLFDI,u milionima КМ,372.5
2012,DC_TRF_TOTLFDI,u milionima КМ,403.6
2013,DC_TRF_TOTLFDI,u milionima КМ,165.3
2014,DC_TRF_TOTLFDI,u milionima КМ,422.3
2015,DC_TRF_TOTLFDI,u milionima КМ,146.5
2016,DC_TRF_TOTLFDI,u milionima КМ,84.5
2017,DC_TRF_TOTLFDI,u milionima КМ,284.0
2018,DC_TRF_TOTLFDI,u milionima КМ,399.1
2019,DC_TRF_TOTLFDI,u milionima КМ,398.1
2020,DC_TRF_TOTLFDI,u milionima КМ,285.1
2021,DC_TRF_TOTLFDI,u milionima КМ,156.6
2009,DC_TRF_TOTLDIS,u milionima КМ,3550.3
2010,DC_TRF_TOTLDIS,u milionima КМ,3710.2
2011,DC_TRF_TOTLDIS,u milionima КМ,4025.4
2012,DC_TRF_TOTLDIS,u milionima КМ,4209.9
2013,DC_TRF_TOTLDIS,u milionima КМ,4867.0
2014,DC_TRF_TOTLDIS,u milionima КМ,4621.7
2015,DC_TRF_TOTLDIS,u milionima КМ,5162.5
2016,DC_TRF_TOTLDIS,u milionima КМ,4977.5
2017,DC_TRF_TOTLDIS,u milionima КМ,5122.6
2018,DC_TRF_TOTLDIS,u milionima КМ,5362.2
2019,DC_TRF_TOTLDIS,u milionima КМ,5524.3
2020,DC_TRF_TOTLDIS,u milionima КМ,5498.6
2021,DC_TRF_TOTLDIS,u milionima КМ,5596.4
