Year,SERIES,UNIT_MEASURE,Pol,AGE,Value
2009,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,3.1
2010,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,3.2
2011,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,3.1
2012,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,3.5
2013,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,3.5
2014,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,4.2
2015,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,3.6
2016,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,3.8
2017,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,3.7
2018,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,4.3
2019,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,4.3
2020,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,4.5
2021,SI_COV_SOCUSALL,Procenat,Oba pola ili bez podjele po polu,_T,4.6
2009,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,36917.0
2010,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,37178.0
2011,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,36323.0
2012,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,41157.0
2013,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,41212.0
2014,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,49147.0
2015,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,41410.0
2016,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,43582.0
2017,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,43062.0
2018,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,48921.0
2019,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,49252.0
2020,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,50652.0
2021,SI_COV_SOCUSALL,Broj,Oba pola ili bez podjele po polu,_T,52068.0
2012,SI_COV_SOCUSSA,Broj,Muškarci,_T,18712.0
2013,SI_COV_SOCUSSA,Broj,Muškarci,_T,19143.0
2014,SI_COV_SOCUSSA,Broj,Muškarci,_T,23658.0
