Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2016,ST_TUR_EMP,Broj,Bez podjele,12106
2017,ST_TUR_EMP,Broj,Bez podjele,12879
2018,ST_TUR_EMP,Broj,Bez podjele,13341
2019,ST_TUR_EMP,Broj,Bez podjele,13742
2020,ST_TUR_EMP,Broj,Bez podjele,13523
2021,ST_TUR_EMP,Broj,Bez podjele,13125
2016,ST_TUR_EMP,Broj,Smještaj,2185
2017,ST_TUR_EMP,Broj,Smještaj,2339
2018,ST_TUR_EMP,Broj,Smještaj,2516
2019,ST_TUR_EMP,Broj,Smještaj,2732
2020,ST_TUR_EMP,Broj,Smještaj,2652
2021,ST_TUR_EMP,Broj,Smještaj,2430
2016,ST_TUR_EMP,Broj,Djelatnost pripreme i posluživanja hrane i pića,9921
2017,ST_TUR_EMP,Broj,Djelatnost pripreme i posluživanja hrane i pića,10540
2018,ST_TUR_EMP,Broj,Djelatnost pripreme i posluživanja hrane i pića,10825
2019,ST_TUR_EMP,Broj,Djelatnost pripreme i posluživanja hrane i pića,11010
2020,ST_TUR_EMP,Broj,Djelatnost pripreme i posluživanja hrane i pića,10871
2021,ST_TUR_EMP,Broj,Djelatnost pripreme i posluživanja hrane i pića,10695
