Year,Value,UNIT_MEASURE,SERIES
2009,754.9,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2010,680.6,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2011,871.3,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2012,688.6,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2013,837.0,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2014,714.8,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2015,703.9,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2016,901.9,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2017,566.1,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2018,704.5,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2019,702.9,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2020,464.4,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
2021,421.0,PER_100000_DEATHS,"Стопа смртности због повреда у цестовном саобраћају, према сполу (на 100.000 становника)"
