Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2016,Number of employed persons in tourism,Number,No breakdown,12106
2017,Number of employed persons in tourism,Number,No breakdown,12879
2018,Number of employed persons in tourism,Number,No breakdown,13341
2019,Number of employed persons in tourism,Number,No breakdown,13742
2020,Number of employed persons in tourism,Number,No breakdown,13523
2021,Number of employed persons in tourism,Number,No breakdown,13125
2016,Number of employed persons in tourism,Number,Accommodation,2185
2017,Number of employed persons in tourism,Number,Accommodation,2339
2018,Number of employed persons in tourism,Number,Accommodation,2516
2019,Number of employed persons in tourism,Number,Accommodation,2732
2020,Number of employed persons in tourism,Number,Accommodation,2652
2021,Number of employed persons in tourism,Number,Accommodation,2430
2016,Number of employed persons in tourism,Number,Food service activities,9921
2017,Number of employed persons in tourism,Number,Food service activities,10540
2018,Number of employed persons in tourism,Number,Food service activities,10825
2019,Number of employed persons in tourism,Number,Food service activities,11010
2020,Number of employed persons in tourism,Number,Food service activities,10871
2021,Number of employed persons in tourism,Number,Food service activities,10695
