Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2009,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,5.5
2010,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,4.9
2011,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,4.9
2012,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,4.5
2013,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,4.8
2014,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,3.5
2015,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,3.5
2016,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,3.4
2017,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,2.9
2018,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,2.7
2019,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,2.2
2020,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,5.6
2021,SH_DYN_MORT,PER_1000_LIVE_BIRTHS,Y0T4,_T,2.2
