Year,Value,UNIT_MEASURE,SERIES
2009,462.7,PER_1000000_POP,GB_POP_SCIERD
2010,403.2,PER_1000000_POP,GB_POP_SCIERD
2011,350.8,PER_1000000_POP,GB_POP_SCIERD
2012,336.6,PER_1000000_POP,GB_POP_SCIERD
2013,394.8,PER_1000000_POP,GB_POP_SCIERD
2014,382.6,PER_1000000_POP,GB_POP_SCIERD
2015,332.8,PER_1000000_POP,GB_POP_SCIERD
2016,241.1,PER_1000000_POP,GB_POP_SCIERD
2017,305.1,PER_1000000_POP,GB_POP_SCIERD
2018,293.7,PER_1000000_POP,GB_POP_SCIERD
2019,488.1,PER_1000000_POP,GB_POP_SCIERD
2020,369.4,PER_1000000_POP,GB_POP_SCIERD
2021,481.7,PER_1000000_POP,GB_POP_SCIERD
